Closest_match,Score,Expected,Template_length,Template_Identity,Template_Coverage,Query_Identity,Query_Coverage,Depth,q_value,p_value,LCA_TaxId,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species
"175245|KX176119.1 Uncultured fungus clone Otu1796 internal transcribed spacer 1 and 5.8S ribosomal RNA gene, partial sequence",150,1,206,97.57,97.57,100,102.49,2.93,145.19,1.00E-26,175245,Eukaryota,Fungi,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured fungus
"680|JQ665379.1 Vibrio campbellii strain CSMCRI-1106 16S ribosomal RNA gene, partial sequence",1230,10,1375,48.36,48.36,100,206.77,3.92,1197.78,1.00E-26,680,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio campbellii
"153939|JN798931.1 Uncultured sulfate-reducing bacterium clone UBM1D80.32 dissimilatory sulfite reductase alpha subunit (dsrA) and dissimilatory sulfite reductase beta subunit (dsrB) genes, partial cds",952,14,1783,42.46,43.3,98.06,230.96,2.68,910.55,1.00E-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"153939|JN798934.1 Uncultured sulfate-reducing bacterium clone UBM1D80.63 dissimilatory sulfite reductase alpha subunit (dsrA) and dissimilatory sulfite reductase beta subunit (dsrB) genes, partial cds",4146,15,1940,81.08,88.09,92.04,113.52,15.4,4100.24,1.00E-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"1207455|JQ432577.1 Marine bacterium JELLYFISH_Au_A03 16S ribosomal RNA gene, partial sequence",93014,10,1361,64.88,65.1,99.66,153.61,286.14,92981.74,1.00E-26,1207455,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,marine bacterium JELLYFISH_Au_A03
"38313|JQ799124.1 Shewanella algae strain KJ-W30 16S ribosomal RNA gene, partial sequence",3172,11,1500,77.2,77.53,99.57,128.98,9.2,3136.62,1.00E-26,38313,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella algae
"671|JQ799125.1 Vibrio proteolyticus strain KJ-W31 16S ribosomal RNA gene, partial sequence",1010,11,1470,50.95,51.29,99.34,194.96,3.27,975.68,1.00E-26,671,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio proteolyticus
"1179890|JQ598483.1 Vibrio sp. K4Ma2_071 uridylate kinase (pyrH) gene, partial cdsJQ598484.1 Vibrio sp. K8Ma1_088 uridylate kinase (pyrH) gene, partial cdsJQ598485.1 Vibrio sp. K9K2_093 uridylate kinase (pyrH) gene, partial cds",1320,3,445,99.1,100,99.1,100,11.95,1309.49,1.00E-26,1179890,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio sp. K4Ma2_071
"1180069|JQ598515.1 Vibrio sp. I11Ma3_019 recombinase A (recA) gene, partial cdsJQ598517.1 Vibrio sp. I11Ma4_043 recombinase A (recA) gene, partial cds",610,4,538,70.07,72.49,96.67,137.95,7.16,597.36,1.00E-26,662,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,
"1188754|JQ670711.1 Bacterium enrichment culture clone KWE30-10 16S ribosomal RNA gene, partial sequence",7294,11,1480,93.72,94.05,99.64,106.32,23.46,7258.99,1.00E-26,1188754,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,bacterium enrichment culture clone KWE30-10
"1188768|JQ670715.1 Shewanella sp. enrichment culture clone KWE30-23 16S ribosomal RNA gene, partial sequence",3104,12,1527,50.1,50.16,99.87,199.35,9.16,3067.99,1.00E-26,1188768,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella sp. enrichment culture clone KWE30-23
"1188761|JQ670729.1 Bacterium enrichment culture clone PKWE30-19 16S ribosomal RNA gene, partial sequence",3974,11,1507,86.33,86.99,99.24,114.95,12.05,3938.42,1.00E-26,1188761,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,bacterium enrichment culture clone PKWE30-19
"77133|AB722099.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: BMS9AB33",1104,10,1390,75.32,75.47,99.81,132.51,3.67,1071.48,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"1187960|JQ677126.1 Vibrio sp. PSU3316 RpoE, RseA, RseB precursor, and RseC genes, complete cds; and LepA gene, partial cds",2620,27,3527,27.5,27.96,98.38,357.71,3.64,2537.56,1.00E-26,662,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,
"1187960|JQ677128.1 Vibrio sp. PSU3316 helicase PriA gene, complete cds; and putative CytR gene, partial cds",7056,22,2895,47.29,48.74,97.02,205.17,11.07,6987.67,1.00E-26,662,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,
"1187960|JQ677129.1 Vibrio sp. PSU3316 pyruvate formate-lyase, putative reductase, threonine synthase, and homoserine kinase genes, complete cds",8152,28,3625,52.66,53.52,98.4,186.86,9.25,8066.47,1.00E-26,662,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,
"1187960|JQ677130.1 Vibrio sp. PSU3316 RhaR, AzlC family protein, hypothetical protein, hydratase, and OmpN genes, complete cds",10532,31,3943,52.52,53.94,97.37,185.38,13.77,10438.9,1.00E-26,662,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,
"1187960|JQ677131.1 Vibrio sp. PSU3316 multidrug resistance protein D, protease II, OmpC precursor, ABC-type metal ion transport, periplasmic, ABC transporter putative permease, manganese transport system ATP-binding protein, cation ABC transporter, periplasmic binding, and hypothetical proteins genes, complete cds",16330,75,9565,47.36,48.93,96.79,204.38,8.49,16104.65,1.00E-26,662,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,
"1187960|JQ677132.1 Vibrio sp. PSU3316 phosphosugar mutase gene, partial cds; and histone acetyltransferase gene, complete cds",1940,17,2232,56.05,57.93,96.75,172.62,4.44,1887.72,1.00E-26,662,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,
"115547|JQ989446.1 Uncultured archaeon clone ORI-902A-09-P_S128-130_093A13 16S ribosomal RNA gene, partial sequence",9908,11,1420,78.1,78.17,99.91,127.93,34.22,9874.39,1.00E-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"77133|JQ989497.1 Uncultured bacterium clone ORI-902A-02-P_S308-310_026B08 16S ribosomal RNA gene, partial sequence",2350,8,1125,44.98,45.78,98.25,218.45,8.33,2323.46,1.00E-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|JQ989509.1 Uncultured bacterium clone ORI-902A-02-P_S368-370_027B13 16S ribosomal RNA gene, partial sequence",462,7,922,31.24,32.54,96,307.33,3.58,440.6,1.00E-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"77133|JQ989603.1 Uncultured bacterium clone ORIII-1368-96D-G_S150-152_96D3B10 16S ribosomal RNA gene, partial sequence",768,11,1462,47.13,47.54,99.14,210.36,2.55,734.03,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"115547|JQ989751.1 Uncultured archaeon clone ORIII-1368-KP9-G_S008-010_KP91A01 16S ribosomal RNA gene, partial sequence",1012,11,1399,65.69,65.69,100,152.23,3.69,979.31,1.00E-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"77133|JQ989783.1 Uncultured bacterium clone ORIII-1368-04-G_S041-043_041B07 16S ribosomal RNA gene, partial sequence",614,9,1181,55.63,56.14,99.1,178.13,2.74,586.56,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|JQ989818.1 Uncultured bacterium clone ORIII-1368-11-G_S128-130_113B08 16S ribosomal RNA gene, partial sequence",722,9,1242,33.66,34.06,98.82,293.62,2.62,693.08,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|JQ989872.1 Uncultured bacterium clone ORIII-1368-KP9-G_S068-070_KP92B12 16S ribosomal RNA gene, partial sequence",844,11,1441,68.36,69.33,98.6,144.24,3.08,810.45,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|JQ989997.1 Uncultured bacterium clone ORI-860-27-P_S161-163_273Bdgge46 16S ribosomal RNA gene, partial sequence",632,4,562,89.15,91.46,97.47,109.34,5.13,618.8,1.00E-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|JQ989998.1 Uncultured bacterium clone ORI-860-27-P_S161-163_273Bdgge49 16S ribosomal RNA gene, partial sequence",1106,4,561,76.47,77.72,98.39,128.67,9.49,1092.77,1.00E-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|JQ990019.1 Uncultured bacterium clone ORI-860-25-P_S068-070_253Bdgge77 16S ribosomal RNA gene, partial sequence",2520,4,564,72.87,73.05,99.76,136.89,19.35,2506.66,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|JQ990026.1 Uncultured bacterium clone ORI-860-25-P_S101-103_254Bdgge86 16S ribosomal RNA gene, partial sequence",6016,4,551,98.37,100,98.37,100,42.75,6002.95,1.00E-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|JN107179.1 Uncultured bacterium clone SWB460 16S ribosomal RNA gene, partial sequence",502,5,669,44.39,44.84,99,223,3.59,486.36,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"115547|JQ816061.1 Uncultured archaeon clone MD-178-10-3263C_T6N-G_S450_09A11 16S ribosomal RNA gene, partial sequence",886,11,1399,63.05,63.05,100,158.62,3.58,853.38,1.00E-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"77133|JQ816165.1 Uncultured bacterium clone MD-178-10-3263C_T6N-G_S150_03B02 16S ribosomal RNA gene, partial sequence",1554,11,1446,53.32,53.39,99.87,187.31,4.77,1520.05,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|JQ816170.1 Uncultured bacterium clone MD-178-10-3263C_T6N-G_S150_03B07 16S ribosomal RNA gene, partial sequence",6092,11,1488,94.09,94.29,99.79,106.06,17.91,6056.82,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|JQ816212.1 Uncultured bacterium clone MD-178-10-3263C_T6N-G_S300_06B09 16S ribosomal RNA gene, partial sequence",1170,11,1428,55.81,56.23,99.25,177.83,4.62,1136.58,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|JQ816218.1 Uncultured bacterium clone MD-178-10-3263C_T6N-G_S300_06B15 16S ribosomal RNA gene, partial sequence",782,9,1200,29.42,30.25,97.25,330.58,4.25,754.01,1.00E-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|JQ816249.1 Uncultured bacterium clone MD-178-10-3263C_T6N-G_S450_09B04 16S ribosomal RNA gene, partial sequence",14180,11,1438,97.98,98.12,99.86,101.91,49.21,14145.95,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|JQ816350.1 Uncultured bacterium clone MD-178-10-3263C_T6N-G_S800_16B13 16S ribosomal RNA gene, partial sequence",2026,11,1438,41.59,41.66,99.83,240.07,6.67,1992.16,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|JQ816444.1 Uncultured bacterium clone MD-178-10-3290_K8B-P_S735_05B04 16S ribosomal RNA gene, partial sequence",6226,11,1447,96.89,96.96,99.93,103.14,18.83,6191.78,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|JQ816460.1 Uncultured bacterium clone MD-178-10-3290_K8B-P_S885_06B06 16S ribosomal RNA gene, partial sequence",934,11,1497,62.99,62.99,100,158.75,3.19,899.1,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|JQ816475.1 Uncultured bacterium clone MD-178-10-3290_K8B-P_S1185_08B02 16S ribosomal RNA gene, partial sequence",802,11,1451,35.42,36.18,97.9,276.38,2.89,768.25,1.00E-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|JQ816496.1 Uncultured bacterium clone MD-178-10-3290_K8B-P_S1335_09B11 16S ribosomal RNA gene, partial sequence",762,11,1427,41.07,41.91,97.99,238.63,2.93,728.83,1.00E-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|JQ816514.1 Uncultured bacterium clone MD-178-10-3290_K8B-P_Catcher_CB09 16S ribosomal RNA gene, partial sequence",1036,11,1479,46.72,47.19,99,211.89,3.25,1001.46,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"115547|JQ816551.1 Uncultured archaeon clone MD-178-10-3277_KP5-5-P_S1950_13A14 16S ribosomal RNA gene, partial sequence",2770,11,1441,84.59,84.59,100,118.21,10.65,2736.03,1.00E-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"77133|JQ816565.1 Uncultured bacterium clone MD-178-10-3277_KP5-5-P_S150_01B09 16S ribosomal RNA gene, partial sequence",24260,11,1475,100,100,100,100,82.21,24225.06,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|JQ816893.1 Uncultured bacterium clone MD-178-10-3292_KP6-2N-P_S300_02B09 16S ribosomal RNA gene, partial sequenceJQ816902.1 Uncultured bacterium clone MD-178-10-3292_KP6-2N-P_S300_02B18 16S ribosomal RNA gene, partial sequence",4554,11,1493,63.83,64.17,99.48,155.85,13.04,4518.73,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|JQ816989.1 Uncultured bacterium clone MD-178-10-3292_KP6-2N-P_Catcher_CB11 16S ribosomal RNA gene, partial sequence",1028,10,1377,63.47,65.07,97.54,153.68,5.45,995.81,1.00E-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|JQ816992.1 Uncultured bacterium clone MD-178-10-3292_KP6-2N-P_Catcher_CB14 16S ribosomal RNA gene, partial sequence",4304,12,1570,76.43,76.5,99.92,130.72,14.04,4266.92,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|JQ817121.1 Uncultured bacterium clone MD-178-10-3293_KP7N-P_S900_06B05 16S ribosomal RNA gene, partial sequence",4790,11,1462,99.38,99.59,99.79,100.41,15.27,4755.45,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|JQ817160.1 Uncultured bacterium clone MD-178-10-3293_KP7N-P_S1500_10B06 16S ribosomal RNA gene, partial sequence",746,11,1427,20.67,21.02,98.33,475.67,2.3,712.84,1.00E-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|JQ817163.1 Uncultured bacterium clone MD-178-10-3293_KP7N-P_S1500_10B09 16S ribosomal RNA gene, partial sequence",1036,11,1475,51.25,51.32,99.87,194.85,3.85,1001.55,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|JQ817183.1 Uncultured bacterium clone MD-178-10-3293_KP7N-P_S1800_12B14 16S ribosomal RNA gene, partial sequence",1690,11,1438,61.27,62.24,98.44,160.67,5.75,1656.21,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|JQ817360.1 Uncultured bacterium clone MD-178-10-3263_KP10N-P_S150_01B22 16S ribosomal RNA gene, partial sequence",1336,11,1506,59.89,60.16,99.56,166.23,4.82,1300.72,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|JQ817493.1 Uncultured bacterium clone MD-178-10-3263_KP10N-P_S2550_17B14 16S ribosomal RNA gene, partial sequence",834,11,1455,50.03,51.13,97.85,195.56,3.3,800.13,1.00E-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|JQ817668.1 Uncultured bacterium clone MD-178-10-3291_KP12N-P_S600_04B24 16S ribosomal RNA gene, partial sequence",782,11,1481,35.38,36.6,96.68,273.25,2.83,747.58,1.00E-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|JQ817676.1 Uncultured bacterium clone MD-178-10-3291_KP12N-P_S750_05B09 16S ribosomal RNA gene, partial sequence",1372,11,1490,40.07,40.74,98.35,245.47,4.31,1337.08,1.00E-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|JQ817782.1 Uncultured bacterium clone MD-178-10-3291_KP12N-P_S2400_16B10 16S ribosomal RNA gene, partial sequence",958,11,1464,25.48,25.68,99.2,389.36,3.34,923.85,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|JQ817809.1 Uncultured bacterium clone MD-178-10-3291_KP12N-P_S3000_20B10 16S ribosomal RNA gene, partial sequence",1036,11,1499,38.83,39.16,99.15,255.37,3.4,1001,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|JQ818058.1 Uncultured bacterium clone MD-178-10-3261_T2-P_S900_06B25 16S ribosomal RNA gene, partial sequence",952,11,1427,37.56,37.91,99.08,263.77,3.09,918.7,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|JX000654.1 Uncultured bacterium clone ORI-934-19-3-P_S208-210_19-35B03 16S ribosomal RNA gene, partial sequence",5960,11,1497,89.58,89.58,100,111.63,18.56,5924.61,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"115547|JX000871.1 Uncultured archaeon clone ORI-961-21-3-P_S068-070_21-32A08 16S ribosomal RNA gene, partial sequence",806,4,555,53.87,54.05,99.67,185,5.94,792.94,1.00E-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"77133|JX000949.1 Uncultured bacterium clone ORI-961-19-1-P_S008-010_19-11B12 16S ribosomal RNA gene, partial sequence",792,11,1481,33.09,33.09,100,302.24,2.63,757.57,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|JX000950.1 Uncultured bacterium clone ORI-961-19-1-P_S008-010_19-11B13 16S ribosomal RNA gene, partial sequence",1152,11,1491,36.89,37.02,99.64,270.11,3.42,1117.13,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|JX000964.1 Uncultured bacterium clone ORI-961-19-1-P_S068-070_19-12B10 16S ribosomal RNA gene, partial sequence",1520,11,1428,38.66,39.64,97.53,252.3,4.84,1486.48,1.00E-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|JX001088.1 Uncultured bacterium clone ORI-961-20-2-P_S128-130_20-23B35 16S ribosomal RNA gene, partial sequence",810,11,1427,26.77,26.91,99.48,371.61,2.94,776.79,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"1423|JQ686661.1 Bacillus subtilis strain 14212 16S ribosomal RNA gene, partial sequence; 16S-23S ribosomal RNA intergenic spacer, complete sequence; and 23S ribosomal RNA gene, partial sequence",444,3,485,61.44,61.86,99.33,161.67,4.76,432.63,1.00E-26,1423,Bacteria,unk_k,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus subtilis
"192955|JQ796373.1 Salmonella enterica subsp. enterica serovar Kentucky strain 19-85 genomic island SGI1-J6, partial sequence",20746,26,3302,35.52,36.86,96.38,271.32,31.71,20667.86,1.00E-26,590,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,
696485|JX127210.1 Vibrio owensii clone V71-1 anonymous locus genomic sequence,19508,6,794,89.92,92.07,97.67,108.62,107.9,19489.19,1.00E-26,662,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,
"115547|JQ740752.1 Uncultured archaeon clone MC118(1)1 16S ribosomal RNA gene, partial sequence",28168,10,1357,96.98,96.98,100,103.12,105.47,28135.85,1.00E-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"115547|JQ740753.1 Uncultured archaeon clone MC118(1)4 16S ribosomal RNA gene, partial sequence",886,10,1359,25.97,26.05,99.72,383.9,3.31,854.3,1.00E-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"77133|JQ925061.1 Uncultured bacterium clone PM-150-Bact-25 16S ribosomal RNA gene, partial sequence",1690,11,1518,62.38,63.31,98.54,157.96,5.08,1654.35,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|JQ925067.1 Uncultured bacterium clone PM-150-Bact-31 16S ribosomal RNA gene, partial sequence",1906,11,1463,73.21,73.68,99.35,135.71,6.31,1871.6,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"663|JQ928708.1 Vibrio alginolyticus strain E06381 site-specific-recombinase gene, partial cds",6452,5,659,87.56,88.16,99.31,113.43,54.12,6436.39,1.00E-26,663,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus
"173975|JX047073.1 Uncultured Shewanella sp. clone KSB6 16S ribosomal RNA gene, partial sequence",9302,11,1511,58.84,58.84,100,169.97,25.91,9266.24,1.00E-26,173975,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,uncultured Shewanella sp.
"1194427|HE820043.1 Vibrio toranzoniae partial atpA gene for ATPase subunit alpha, type strain Vb 10.8T",22624,10,1332,53,53.38,99.3,187.34,86.53,22592.44,1.00E-26,1194427,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio toranzoniae
"663|JX064517.1 Vibrio alginolyticus strain E0601 lecithin-dependent hemolysin (ldh) gene, complete cds",30198,9,1254,98.72,99.12,99.6,100.88,105.44,30168.29,1.00E-26,663,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus
"120858|FR871973.1 Uncultured epsilon proteobacterium partial 16S rRNA gene, clone GoM_DSSGM3_31",324,4,568,52.11,52.11,100,191.89,2.61,310.78,1.00E-26,120858,Bacteria,unk_k,Proteobacteria,Epsilonproteobacteria,unk_o,unk_f,unk_g,uncultured Epsilonproteobacteria bacterium
"77133|FR871989.1 Uncultured bacterium partial 16S rRNA gene, clone GoM_Bac_51",418,6,815,36.81,36.81,100,271.67,2.21,399.07,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"34034|FR871992.1 Uncultured delta proteobacterium partial 16S rRNA gene, clone GoM_Bac_57",1290,6,817,53.98,54.1,99.77,184.84,6.98,1270.76,1.00E-26,34034,Bacteria,unk_k,Proteobacteria,Deltaproteobacteria,unk_o,unk_f,unk_g,uncultured delta proteobacterium
"34034|FR871998.1 Uncultured delta proteobacterium partial 16S rRNA gene, clone GoM_Bac_140",706,6,851,35.14,35.25,99.67,283.67,3.53,686.08,1.00E-26,34034,Bacteria,unk_k,Proteobacteria,Deltaproteobacteria,unk_o,unk_f,unk_g,uncultured delta proteobacterium
"34034|FR872045.1 Uncultured delta proteobacterium partial 16S rRNA gene, clone GoM_Bac_66",538,7,897,33.33,33.44,99.67,299,3.01,517.1,1.00E-26,34034,Bacteria,unk_k,Proteobacteria,Deltaproteobacteria,unk_o,unk_f,unk_g,uncultured delta proteobacterium
"34034|FR872086.1 Uncultured delta proteobacterium partial 16S rRNA gene, clone GoM_DSSGM4_13",530,6,857,34.42,35.01,98.33,285.67,3.5,510.03,1.00E-26,28221,Bacteria,unk_k,Proteobacteria,Deltaproteobacteria,unk_o,unk_f,unk_g,
"77133|FR872134.1 Uncultured bacterium partial mRNA for adenosine-5'-phosphosulfate reductase (aprA gene), clone GoM_AprA_77",3062,3,397,97.23,100,97.23,100,44.82,3052.6,1.00E-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"663|JX221044.1 Vibrio alginolyticus strain XSBZ03 16S ribosomal RNA gene, partial sequence",1372,11,1514,51.19,51.19,100,195.35,4.31,1336.52,1.00E-26,663,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus
"77133|JX193379.1 Uncultured bacterium clone D30914 16S ribosomal RNA gene, partial sequence",1048,12,1542,34.31,35.28,97.24,283.46,3.69,1012.01,1.00E-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|JX391169.1 Uncultured bacterium clone H3029 16S ribosomal RNA gene, partial sequenceJX391178.1 Uncultured bacterium clone H3038 16S ribosomal RNA gene, partial sequence",2234,12,1531,61.79,61.99,99.68,161.33,5.91,2197.97,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|JX391692.1 Uncultured bacterium clone NF074 16S ribosomal RNA gene, partial sequence",3136,11,1496,91.84,93.38,98.35,107.09,9.95,3100.71,1.00E-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"1198342|JX162203.1 Bacterium CaletaPS4 copper-translocating P-type ATPase (copA) gene, partial cds",478,2,258,98.06,100,98.06,100,7.13,471.92,1.00E-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"358574|AB750418.1 Uncultured microorganism intI gene for integron integrase, partial cds, clone: 16Cas.IntI",322,3,488,58.61,61.48,95.33,162.67,4.3,310.61,1.00E-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,,
"358574|AB750488.1 Uncultured microorganism DNA, gene cassette 54Cas.GasHyd.GC.1, complete sequence, clone: 54Cas.GasHyd.GC.1",790,8,1058,55.1,57.66,95.57,173.44,4.4,765.27,1.00E-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,,
