Closest_match,Score,Expected,Template_length,Template_Identity,Template_Coverage,Query_Identity,Query_Coverage,Depth,q_value,p_value,LCA_TaxId,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species
4932|X00149.1 Saccharomyces cerevisiae mt 21s rRNA gene r1-intron,1410,4,1276,23.51,23.51,100.0,425.33,7.41,1395.69,1e-26,4932,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Saccharomyces cerevisiae
"115547|GQ357069.1 Uncultured archaeon clone Fe_M_81 methyl coenzyme M reductase subunit alpha gene, partial cds",9262,1,482,86.31,87.97,98.11,113.68,66.3,9256.57,1e-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"115547|GQ357086.1 Uncultured archaeon clone Fe_M_98 methyl coenzyme M reductase subunit alpha gene, partial cds",7192,1,482,79.25,80.29,98.71,124.55,56.42,7186.57,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"115547|GQ357093.1 Uncultured archaeon clone FeSO4_M_15 methyl coenzyme M reductase subunit alpha gene, partial cds",3886,1,476,59.24,59.66,99.3,167.61,30.64,3880.64,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"115547|GQ357096.1 Uncultured archaeon clone FeSO4_M_18 methyl coenzyme M reductase subunit alpha gene, partial cds",1366,1,482,60.58,61.83,97.99,161.74,13.56,1360.58,1e-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"115547|GQ357104.1 Uncultured archaeon clone FeSO4_M_4 methyl coenzyme M reductase subunit alpha gene, partial cds",2896,1,482,59.54,60.17,98.97,166.21,23.32,2890.58,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"115547|GQ357107.1 Uncultured archaeon clone FeSO4_M_8 methyl coenzyme M reductase subunit alpha gene, partial cds",850,1,488,43.85,44.67,98.17,223.85,11.16,844.52,1e-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"115547|GQ357126.1 Uncultured archaeon clone FeLiveControl_M_129 methyl coenzyme M reductase subunit alpha gene, partial cds",2222,1,482,48.34,49.38,97.9,202.52,16.36,2216.58,1e-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"115547|GQ357146.1 Uncultured archaeon clone FeOrig_M_64 methyl coenzyme M reductase subunit alpha gene, partial cds",1534,1,482,56.43,58.92,95.77,169.72,20.62,1528.58,1e-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,,
"115547|GQ357155.1 Uncultured archaeon clone FeOrig_M_74 methyl coenzyme M reductase subunit alpha gene, partial cds",9770,1,482,90.46,93.15,97.1,107.35,105.39,9764.57,1e-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"115547|GQ357157.1 Uncultured archaeon clone FeOrig_M_76 methyl coenzyme M reductase subunit alpha gene, partial cds",11240,1,482,96.06,99.38,96.66,100.63,86.35,11234.57,1e-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"115547|GQ357159.1 Uncultured archaeon clone FeOrig_M_78 methyl coenzyme M reductase subunit alpha gene, partial cds",12242,1,482,84.65,86.31,98.08,115.87,95.16,12236.57,1e-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"115547|GQ357163.1 Uncultured archaeon clone FeOrig_M_82 methyl coenzyme M reductase subunit alpha gene, partial cds",12802,1,482,95.44,96.68,98.71,103.43,101.96,12796.57,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"115547|GQ357165.1 Uncultured archaeon clone FeOrig_M_84 methyl coenzyme M reductase subunit alpha gene, partial cds",6150,1,482,98.34,99.59,98.75,100.42,43.01,6144.57,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"358574|GQ452697.1 Uncultured microorganism clone ERB_1_G1 NifH (nifH) gene, partial cds",324,1,422,40.05,41.47,96.57,241.14,4.27,319.28,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"358574|GQ452698.1 Uncultured microorganism clone ERB_1_G11 NifH (nifH) gene, partial cds",2900,1,380,73.68,77.63,94.92,128.81,47.35,2895.72,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,,
"358574|GQ452701.1 Uncultured microorganism clone ERB_1_G6 NifH (nifH) gene, partial cds",3168,1,386,82.38,84.2,97.85,118.77,39.52,3163.66,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"358574|GQ452704.1 Uncultured microorganism clone ERB_1_H11 NifH (nifH) gene, partial cds",2534,1,386,89.12,90.67,98.29,110.29,32.51,2529.66,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"358574|GQ452709.1 Uncultured microorganism clone ERB_1_H7 NifH (nifH) gene, partial cds",14370,1,386,97.15,100.0,97.15,100.0,203.17,14365.65,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"358574|GQ452715.1 Uncultured microorganism clone ERB_2_A9 NifH (nifH) gene, partial cds",1948,1,422,95.26,100.0,95.26,100.0,34.82,1943.25,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,,
"358574|GQ452717.1 Uncultured microorganism clone ERB_2_B11 NifH (nifH) gene, partial cds",1676,1,374,63.1,65.78,95.93,152.03,29.53,1671.79,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,,
"358574|GQ452722.1 Uncultured microorganism clone ERB_2_B9 NifH (nifH) gene, partial cds",1700,1,422,62.09,65.88,94.24,151.8,34.23,1695.25,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,,
"358574|GQ452723.1 Uncultured microorganism clone ERB_2_C11 NifH (nifH) gene, partial cds",4074,1,386,62.44,64.51,96.79,155.02,56.81,4069.65,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"358574|GQ452733.1 Uncultured microorganism clone ERB_2_D7 NifH (nifH) gene, partial cds",5218,1,422,97.63,100.0,97.63,100.0,76.88,5213.25,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"358574|GQ452734.1 Uncultured microorganism clone ERB_2_D8 NifH (nifH) gene, partial cds",266,1,386,39.9,41.45,96.25,241.25,4.72,261.68,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,,
"358574|GQ452741.1 Uncultured microorganism clone ERB_2_E3 NifH (nifH) gene, partial cds",4610,1,370,96.49,98.11,98.35,101.93,71.86,4605.83,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"358574|GQ452756.1 Uncultured microorganism clone ERB_2_G10 NifH (nifH) gene, partial cds",816,1,386,64.51,68.13,94.68,146.77,18.65,811.66,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,,
"358574|GQ452759.1 Uncultured microorganism clone ERB_2_G2 NifH (nifH) gene, partial cds",4992,1,386,94.3,98.19,96.04,101.85,89.57,4987.65,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,,
"358574|GQ452765.1 Uncultured microorganism clone ERB_2_G9 NifH (nifH) gene, partial cds",2664,1,422,78.44,82.94,94.57,120.57,40.5,2659.25,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,,
"358574|GQ452771.1 Uncultured microorganism clone ERB_2_H5 NifH (nifH) gene, partial cds",3532,1,422,90.28,93.6,96.46,106.84,57.33,3527.25,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"358574|GQ452773.1 Uncultured microorganism clone ERB_2_H7 NifH (nifH) gene, partial cds",8692,1,386,84.72,88.08,96.18,113.53,129.49,8687.65,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,,
"358574|GQ452774.1 Uncultured microorganism clone ERB_2_H8 NifH (nifH) gene, partial cds",20444,1,422,96.21,100.0,96.21,100.0,329.3,20439.25,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,,
155900|GQ877925.1 Uncultured organism clone VC1BT53TR genomic sequence,2768,3,957,26.65,26.75,99.61,373.83,10.97,2757.24,1e-26,155900,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism
"77133|AB525445.1 Uncultured bacterium gene for 16S ribosomal RNA, partial sequence, clone: UT06_10_52B_25",3148,5,1457,20.59,20.59,100.0,485.67,12.69,3131.63,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB525448.1 Uncultured bacterium gene for 16S ribosomal RNA, partial sequence, clone: UT06_10_52B_28",13234,5,1489,53.79,54.67,98.4,182.92,40.75,13217.24,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|AB525454.1 Uncultured bacterium gene for 16S ribosomal RNA, partial sequence, clone: UT06_10_52B_40",3172,5,1425,38.46,38.46,100.0,260.04,10.26,3155.99,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB525471.1 Uncultured bacterium gene for 16S ribosomal RNA, partial sequence, clone: UT06_10_52B_67",5636,5,1506,25.56,25.56,100.0,391.17,19.28,5619.06,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"115547|AB525492.1 Uncultured archaeon mcrA gene for methyl coenzyme M reductase alpha subunit, partial cds, clone: UT06_PC10_1mcr21",270,1,439,79.27,80.18,98.86,124.72,2.62,265.1,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"115547|FP565147.1 uncultured archaeon ANME-1, unordered contigs",520271754,2214,3398838,73.34,76.22,96.21,131.19,1035.19,520265109.14,1e-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,,
"663|EU484572.1 Vibrio alginolyticus alkaline serine protease (asp) gene, complete cds",5322,9,2450,24.2,24.49,98.83,408.33,10.37,5294.47,1e-26,663,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus
"405772|AM404076.1 Thiomicrospira sp. Lilliput-1 partial cbbL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase form I large subunit, isolate 1",11066,2,749,80.37,81.84,98.21,122.19,81.38,11057.57,1e-26,933,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Thiomicrospira,
"405772|AM404077.1 Thiomicrospira sp. Lilliput-1 partial cbbL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase form I large subunit, isolate 2",5120,2,732,67.62,72.68,93.05,137.59,49.96,5111.76,1e-26,135616,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,,
"663|FJ908086.1 Vibrio alginolyticus strain EPGS Pep gene, complete cds",6916,5,1596,35.71,36.15,98.79,276.6,20.67,6898.05,1e-26,663,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus
"77133|AM404398.1 Uncultured bacterium partial 16S rRNA gene, clone GoM_SMBush4593_Bac99",1944,1,447,66.89,67.11,99.67,149.0,25.04,1938.97,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AM229192.1 Uncultured bacterium partial 16S rRNA gene, clone HydGH-Bac75",6644,5,1555,53.95,54.73,98.59,182.73,25.07,6626.51,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AM229201.1 Uncultured bacterium partial 16S rRNA gene, clone HydGC-83-107B",25536,5,1525,70.75,70.89,99.81,141.07,69.95,25518.83,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AM229204.1 Uncultured bacterium partial 16S rRNA gene, clone HydGC-83-130B",16834,5,1526,78.96,79.42,99.42,125.91,57.42,16816.82,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"114243|AM229234.1 Uncultured euryarchaeote partial 16S rRNA gene, clone HydGC-84-548A",2676,5,1351,22.21,22.21,100.0,450.33,11.1,2660.82,1e-26,114243,Archaea,unk_k,Euryarchaeota,unk_c,unk_o,unk_f,unk_g,uncultured euryarchaeote
"34034|AM404370.1 Uncultured delta proteobacterium partial 16S rRNA gene, clone GoM_SMBush4593_Bac113",1396,5,1526,36.24,37.16,97.53,269.14,4.72,1378.91,1e-26,28221,Bacteria,unk_k,Proteobacteria,Deltaproteobacteria,unk_o,unk_f,unk_g,
"663|GU318323.1 Vibrio alginolyticus strain EpGS020803 outer membrane protein K (ompK) gene, complete cds",4250,3,846,35.46,35.46,100.0,282.0,22.57,4240.48,1e-26,663,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus
"77133|GU302426.1 Uncultured bacterium clone MatB0bac25 16S ribosomal RNA, partial sequence",3762,5,1526,21.49,21.49,100.0,465.24,10.12,3744.85,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|GU302496.1 Uncultured bacterium clone MatB12bac48 16S ribosomal RNA, partial sequence",20616,5,1510,87.35,88.34,98.88,113.19,69.77,20599.0,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|GU302499.1 Uncultured bacterium clone MatB0mcr144 methyl coenzyme M reductase alpha subunit (mcrA) mRNA, partial cds",5610,2,706,41.5,42.49,97.67,235.33,28.77,5602.05,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|GU302505.1 Uncultured bacterium clone Edge0mcr41 methyl coenzyme M reductase alpha subunit (mcrA) mRNA, partial cds",9424,2,748,86.9,89.04,97.6,112.31,44.92,9415.58,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|GU184950.1 Uncultured bacterium clone FATNRJUN036 16S ribosomal RNA gene, partial sequence",1068,2,650,46.15,46.15,100.0,216.67,7.38,1060.7,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|GU567532.1 Uncultured bacterium clone b27 16S ribosomal RNA gene, partial sequence",1454,2,606,46.2,46.2,100.0,216.43,18.32,1447.19,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"358574|GU810089.1 Uncultured microorganism clone JdF_PC1B formyl tetrahydrofolate synthetase (fhs) gene, partial cds",1666,4,1126,24.42,26.64,91.67,375.33,11.54,1653.36,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,,
"358574|GQ477542.1 Uncultured microorganism clone D11 nif operon, partial sequence",9798,11,3074,39.39,43.01,91.6,232.53,24.91,9763.44,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,,
"358574|GQ477544.1 Uncultured microorganism clone Q3 nif operon, partial sequence",22202,11,3081,41.03,44.43,92.33,225.05,49.81,22167.33,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,,
"77133|FN807399.1 Uncultured bacterium partial 16S rRNA gene, clone T00958_F07_HG1-001",1356,1,428,39.72,40.42,98.27,247.4,11.2,1351.19,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"115547|GU989568.1 Uncultured archaeon clone Nye-8_10-mcrA10 methyl-coenzyme M reductase alpha subunit-like (mcrA) gene, partial sequence",7486,2,768,38.93,39.06,99.67,256.0,29.14,7477.36,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"153939|HM004743.1 Uncultured sulfate-reducing bacterium clone Nye-0_2-dsrE08 dissimilatory sulfite reductase beta subunit-like (dsrb) gene, partial sequence",2330,2,797,35.76,37.77,94.68,264.78,23.33,2321.04,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"115547|HM004841.1 Uncultured archaeon clone NapMat-2_4-mcrF02 methyl coenzyme M reductase subunit A-like (mcrA) gene, partial sequence",2094,2,775,38.06,38.71,98.33,258.33,12.0,2085.29,1e-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"115547|HM004869.1 Uncultured archaeon clone NapMat-8_10-mcrB05 methyl coenzyme M reductase subunit A-like (mcrA) gene, partial sequence",1960,2,775,36.26,36.9,98.25,270.98,10.31,1951.29,1e-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
795751|HM116539.1 Uncultured bacterium fss6 genomic sequence,221646,138,36801,45.21,45.43,99.52,220.11,25.02,221232.04,1e-26,795751,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium fss6
"77133|AB560668.1 Uncultured bacterium gene for 16S ribosomal RNA, partial sequence, clone: GAM3",20502,3,923,48.86,48.86,100.0,204.66,115.18,20491.61,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|GU982768.1 Uncultured bacterium clone 3051bac1-75 16S ribosomal RNA gene, partial sequence",3426,3,1024,23.24,23.44,99.17,426.67,9.97,3414.49,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|GU982792.1 Uncultured bacterium clone 3051bac3-16 16S ribosomal RNA gene, partial sequence",916,4,1156,25.78,25.95,99.33,385.33,5.97,903.06,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"115547|GU553619.1 Uncultured archaeon clone ORI-860-27-P_S041-043_271A05 16S ribosomal RNA gene, partial sequence",1240,5,1413,20.88,20.88,100.0,478.98,4.18,1224.18,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"115547|GU553627.1 Uncultured archaeon clone ORI-860-27-P_S101-103_272A03 16S ribosomal RNA gene, partial sequence",9796,5,1410,54.68,55.32,98.85,180.77,32.73,9780.13,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"115547|GU553633.1 Uncultured archaeon clone ORI-860-27-P_S101-103_272A09 16S ribosomal RNA gene, partial sequence",3684,5,1411,42.38,42.52,99.67,235.17,12.1,3668.14,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"77133|GU553777.1 Uncultured bacterium clone ORI-860-27-P_S101-103_272B02 16S ribosomal RNA gene, partial sequence",4282,5,1493,20.03,20.09,99.67,497.67,13.66,4265.22,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|GU553799.1 Uncultured bacterium clone ORI-860-27-P_S221-223_274B10 16S ribosomal RNA gene, partial sequence",4568,5,1571,22.28,22.53,98.87,443.79,16.34,4550.34,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"115547|FN820370.1 Uncultured archaeon partial 16S rRNA gene, clone GoC_Arc_31_D0_C0_M1",1106,5,1357,22.03,22.11,99.67,452.33,4.2,1090.81,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"663|GU301162.1 Vibrio alginolyticus strain JF49 RNA polymerase subunit B (rpoB) gene, partial cds",3536,5,1562,26.25,26.7,98.32,374.58,11.44,3518.45,1e-26,662,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,
9606|NG_023739.1 Homo sapiens orthodenticle homeobox 2 pseudogene (LOC100419816) on chromosome 2,5532,3,956,28.56,28.56,100.0,350.18,18.51,5521.24,1e-26,9606,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
"768527|HM016085.1 Shewanella sp. KJW23 16S ribosomal RNA gene, partial sequence",35410,5,1506,97.94,98.07,99.86,101.96,111.76,35393.04,1e-26,768527,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella sp. KJW23
"38313|HM016090.1 Shewanella algae strain ATCC 51192 DNA gyrase subunit B (gyrB) gene, partial cds",3264,4,1155,25.71,25.97,99.0,385.0,12.44,3251.02,1e-26,38313,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella algae
"38313|HM016095.1 Shewanella algae strain ATCC 51192 DNA-directed RNA polymerase beta chain (rpoB) gene, partial cds",15456,4,1142,63.92,64.01,99.86,156.22,49.17,15443.14,1e-26,38313,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella algae
"768527|HM016108.1 Shewanella sp. KJW23 heat shock protein 70 (Hsp70) gene, partial cds",4378,2,624,54.97,54.97,100.0,181.92,21.93,4370.98,1e-26,768527,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella sp. KJW23
"77133|HQ114129.1 Uncultured bacterium clone V201-114 16S ribosomal RNA gene, partial sequence",1054,5,1460,18.08,20.55,88.0,486.67,6.36,1037.67,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,,,
"115547|HM601100.1 Uncultured archaeon clone MC118_29E24 16S ribosomal RNA gene, partial sequence",1976,2,778,32.26,32.26,100.0,309.96,12.72,1967.26,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"115547|HM601109.1 Uncultured archaeon clone MC118_29E27 16S ribosomal RNA gene, partial sequence",2180,1,503,46.72,46.72,100.0,214.04,18.44,2174.34,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"115547|HM601220.1 Uncultured archaeon clone MC118_31C54 16S ribosomal RNA gene, partial sequence",2644,3,883,42.36,42.58,99.47,234.84,21.74,2634.07,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"115547|HM601221.1 Uncultured archaeon clone MC118_31C2 16S ribosomal RNA gene, partial sequence",1488,3,882,33.9,34.01,99.67,294.0,8.5,1478.1,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"115547|HM601225.1 Uncultured archaeon clone MC118_31D27 16S ribosomal RNA gene, partial sequence",8452,3,883,64.89,65.01,99.83,153.83,47.45,8442.06,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"115547|HM601226.1 Uncultured archaeon clone MC118_31D60 16S ribosomal RNA gene, partial sequence",7114,3,883,44.17,44.39,99.49,225.26,35.07,7104.06,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"115547|HM601244.1 Uncultured archaeon clone MC118_31D7 16S ribosomal RNA gene, partial sequence",2228,3,883,39.07,39.41,99.14,253.74,13.92,2218.08,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"115547|HM601247.1 Uncultured archaeon clone MC118_31D14 16S ribosomal RNA gene, partial sequence",12796,3,883,63.19,63.31,99.82,157.96,70.15,12786.06,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"115547|HM746605.1 Uncultured archaeon clone MC118_16_29E_ANME-1_(16) McrA (mcrA) gene, partial cds",2626,1,479,83.92,86.22,97.34,115.98,20.21,2620.61,1e-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"115547|HM746608.1 Uncultured archaeon clone MC118_15_30D_ANME-1_(6) McrA (mcrA) gene, partial cds",27174,1,479,97.91,100.0,97.91,100.0,200.58,27168.61,1e-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"115547|HM746611.1 Uncultured archaeon clone MC118_31B_15-ANME-1_(5) McrA (mcrA) gene, partial cds",8554,1,479,96.87,100.0,96.87,100.0,72.33,8548.61,1e-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"115547|HM746613.1 Uncultured archaeon clone MC118_5_31D_ANME-1 McrA (mcrA) gene, partial cds",2100,1,479,37.16,39.04,95.19,256.15,18.54,2094.61,1e-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,,
"115547|HM746634.1 Uncultured archaeon clone MC118-30A42-IRD_(5) McrA (mcrA) gene, partial cds",23890,1,524,95.04,95.8,99.2,104.38,164.35,23884.1,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"115547|HM746644.1 Uncultured archaeon clone MC118_31A_23-IRD_(7) McrA (mcrA) gene, partial cds",5076,1,512,71.88,72.66,98.92,137.63,30.89,5070.24,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"77133|AB598194.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: 0D_B17",5054,4,1100,71.55,71.91,99.49,139.06,18.96,5041.63,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|FR695351.1 Uncultured bacterium partial 16S rRNA gene, clone BactSMTZ_C6",1236,3,899,31.59,32.15,98.27,311.07,8.04,1225.91,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|HQ606246.1 Uncultured bacterium clone SH2B_1H3b_B038 16S ribosomal RNA gene, partial sequence",1556,2,760,38.16,39.47,96.67,253.33,10.26,1547.46,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|HQ588420.1 Uncultured bacterium clone AMSMV-0-B177 16S ribosomal RNA gene, partial sequenceKF440270.1 Uncultured bacterium clone AMSGC_2_B27 16S ribosomal RNA gene, partial sequence",5200,5,1366,43.63,43.92,99.33,227.67,17.92,5184.64,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|HQ588426.1 Uncultured bacterium clone AMSMV-0-B190 16S ribosomal RNA gene, partial sequence",3940,5,1387,21.63,21.63,100.0,462.33,13.93,3924.41,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|HQ588474.1 Uncultured bacterium clone AMSMV-5-B62 16S ribosomal RNA gene, partial sequence",83520,5,1436,97.14,97.49,99.64,102.57,329.22,83503.83,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|HQ588481.1 Uncultured bacterium clone AMSMV-5-B71 16S ribosomal RNA gene, partial sequence",2822,5,1410,21.28,21.28,100.0,470.0,14.44,2806.16,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
