Closest_match,Score,Expected,Template_length,Template_Identity,Template_Coverage,Query_Identity,Query_Coverage,Depth,q_value,p_value,LCA_TaxId,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species
"175243|HQ871913.1 Uncultured Ascomycota clone UAP7754 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",522,1,401,81.8,83.04,98.5,120.42,6,518.8,1.00E-26,175243,Eukaryota,Fungi,Ascomycota,unk_c,unk_o,unk_f,unk_g,uncultured Ascomycota
"1231058|JN188427.1 Vibrio alginolyticus strain E0666 RNA polymerase subunit B (rpoB) gene, partial cds",2538,1,646,88.39,89.01,99.3,112.35,15.67,2532.84,1.00E-26,50719,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio diabolicus
"663|JN188431.1 Vibrio alginolyticus strain 474 RNA polymerase subunit B (rpoB) gene, partial cds",632,1,631,69.89,70.21,99.55,142.44,4.28,626.98,1.00E-26,663,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus
"663|JN188436.1 Vibrio alginolyticus strain H2X-5 RNA polymerase subunit B (rpoB) gene, partial cds",4392,1,631,78.45,78.92,99.4,126.71,25.17,4386.96,1.00E-26,663,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus
"171953|HQ597788.1 Uncultured Acidobacteria bacterium clone SEG_08_113 16S ribosomal RNA gene, partial sequence",980,4,1508,59.62,62.33,95.64,160.43,3.05,968.02,1.00E-26,57723,Bacteria,unk_k,Acidobacteria,unk_c,unk_o,unk_f,,
"485575|JN703716.1 Candidatus Scalindua sp. enrichment culture clone 15L hydrazine synthase subunit A (hzsA) gene, complete cds",1414,6,2421,53.86,56.59,95.18,176.72,4.08,1394.77,1.00E-26,2897346,Bacteria,unk_k,Planctomycetota,Candidatus Brocadiia,Candidatus Brocadiales,Candidatus Scalinduaceae,,
"352351|JN886851.1 Uncultured Rhodospirillaceae bacterium clone C-B8 16S ribosomal RNA gene, partial sequence",1974,3,1478,99.19,99.66,99.52,100.34,6.6,1962.22,1.00E-26,352351,Bacteria,unk_k,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,unk_g,uncultured Rhodospirillaceae bacterium
"34034|JN886904.1 Uncultured delta proteobacterium clone C-B97 16S ribosomal RNA gene, partial sequence",988,4,1521,57.13,57.73,98.97,173.23,3.06,975.91,1.00E-26,34034,Bacteria,unk_k,Proteobacteria,Deltaproteobacteria,unk_o,unk_f,unk_g,uncultured delta proteobacterium
"155900|JN504643.1 Uncultured organism clone SBZA_5910 16S ribosomal RNA gene, partial sequence",426,1,683,58.71,63.54,92.4,157.37,4.17,420.57,1.00E-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,,
"77133|JN977144.1 Uncultured bacterium clone A0-005 16S ribosomal RNA gene, partial sequence",1680,4,1546,51.23,51.55,99.37,193.98,5.05,1667.69,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|JN977152.1 Uncultured bacterium clone A0-013 16S ribosomal RNA gene, partial sequence",782,3,1497,54.64,54.98,99.39,181.9,2.56,770.12,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|JN977166.1 Uncultured bacterium clone A0-027 16S ribosomal RNA gene, partial sequence",13312,4,1529,99.35,100.13,99.22,99.87,38.71,13299.79,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|JN977279.1 Uncultured bacterium clone A5-056 16S ribosomal RNA gene, partial sequence",6028,4,1533,99.67,100,99.67,100,18.3,6015.76,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|JN977295.1 Uncultured bacterium clone A5-074 16S ribosomal RNA gene, partial sequence",790,3,1499,74.92,75.65,99.03,132.19,2.84,778.1,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|JN977298.1 Uncultured bacterium clone A5-078 16S ribosomal RNA gene, partial sequence",1166,4,1547,89.2,90.17,98.92,110.9,3.59,1153.7,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|JN977309.1 Uncultured bacterium clone A5-093 16S ribosomal RNA gene, partial sequence",860,4,1528,45.09,45.81,98.43,218.29,2.41,847.87,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|JN977316.1 Uncultured bacterium clone A5-100 16S ribosomal RNA gene, partial sequenceJN977317.1 Uncultured bacterium clone A5-101 16S ribosomal RNA gene, partial sequence",1918,4,1528,89.07,89.86,99.13,111.29,6.05,1905.83,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|JN977323.1 Uncultured bacterium clone B5-005 16S ribosomal RNA gene, partial sequence",2334,4,1514,97.69,98.15,99.53,101.88,7.39,2321.93,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|JN977327.1 Uncultured bacterium clone B5-011 16S ribosomal RNA gene, partial sequence",968,3,1500,61.33,61.87,99.14,161.64,3.47,956.08,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|JN977358.1 Uncultured bacterium clone B5-054 16S ribosomal RNA gene, partial sequenceJN977359.1 Uncultured bacterium clone B5-055 16S ribosomal RNA gene, partial sequence",1076,4,1550,47.81,47.81,100,209.18,3.48,1063.68,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB645378.1 Uncultured bacterium dsrA gene for putative dissimilatory sulfate reductase alpha subunit, partial cds, clone: C9001C_dsrA_02_2_C29",330,1,431,88.4,90.49,97.69,110.51,4.14,326.57,1.00E-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|GQ136932.1 Uncultured bacterium clone 01f02 16S ribosomal RNA gene, partial sequence",456,2,795,56.35,57.23,98.46,174.73,3.01,449.69,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|JN874102.1 Uncultured bacterium clone RESET_18B02 16S ribosomal RNA gene, partial sequence",1402,3,1429,48.85,48.85,100,204.73,3.69,1390.62,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|JN874218.1 Uncultured bacterium clone RESET_28D02 16S ribosomal RNA gene, partial sequence",1214,3,1472,27.11,27.24,99.5,367.08,3.46,1202.29,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"32644|FQ698742.1 16S rRNA amplicon fragment from a soil sample (ferralsol, Madagascar) resulting from a 16 days laboratory incubation experiment in the presence of a tropical peregrine endogeic earthworm, Pontoscolex corethrurus",264,1,451,56.76,61.64,92.09,162.23,3.36,260.42,1.00E-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,,
"86473|AB643578.1 Uncultured gamma proteobacterium DNA, bisucaberin biosynthetic gene cluster, complete cds",10404,20,7694,89.68,91.04,98.5,109.84,6.21,10342.69,1.00E-26,86473,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,unk_o,unk_f,unk_g,uncultured Gammaproteobacteria bacterium
"77133|JQ032429.1 Uncultured bacterium clone AND_GV0309_IH8.1_3S1 16S ribosomal RNA gene, partial sequence",2558,3,1195,65.02,65.77,98.85,152.04,9.95,2548.47,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|JQ287017.1 Uncultured bacterium clone 9M32_063 16S ribosomal RNA gene, partial sequence",916,4,1510,92.12,92.65,99.43,107.93,2.86,904.01,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|JQ287033.1 Uncultured bacterium clone 9M32_080 16S ribosomal RNA gene, partial sequence",1018,3,1500,56.8,57.6,98.61,173.61,3.4,1006.08,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|JQ287086.1 Uncultured bacterium clone 3M23_054 16S ribosomal RNA gene, partial sequence",2360,3,1500,66.53,66.67,99.8,150,7.69,2348.04,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|JQ287095.1 Uncultured bacterium clone 3M23_064 16S ribosomal RNA gene, partial sequence",1240,3,1481,89.74,91.29,98.3,109.54,3.63,1228.22,1.00E-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|JQ287116.1 Uncultured bacterium clone 3M23_092 16S ribosomal RNA gene, partial sequence",2968,3,1474,92.81,93.28,99.49,107.2,9.2,2956.24,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|JQ287303.1 Uncultured bacterium clone 7M24_023 16S ribosomal RNA gene, partial sequence",1120,3,1459,79.85,79.99,99.83,125.02,3.81,1108.4,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|JQ287477.1 Uncultured bacterium clone 3M34_074 16S ribosomal RNA gene, partial sequence",1696,4,1521,60.82,62.2,97.78,160.78,4.95,1683.89,1.00E-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"663|JQ015335.1 Vibrio alginolyticus strain B840 RpoD (rpoD) gene, partial cds",3972,2,796,95.85,95.85,100,104.33,21.61,3965.64,1.00E-26,663,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus
"663|JQ015370.1 Vibrio alginolyticus strain LMG 3418 TopA (topA) gene, partial cds",14244,1,698,99.28,100,99.28,100,91.26,14238.42,1.00E-26,663,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus
"77133|JN798864.1 Uncultured bacterium clone UBM1B20_67 16S ribosomal RNA gene, partial sequence",648,2,869,60.53,60.53,100,165.21,4.49,641.09,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|JN789079.1 Uncultured bacterium clone 48Hi70 integrase (intI) gene, partial cds",470,1,404,96.29,100,96.29,100,6.17,466.78,1.00E-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"77133|JN789114.1 Uncultured bacterium clone 48HIT40 integrase (intI) gene, partial cds",888,1,633,97,100,97,100,8.28,882.96,1.00E-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|JN789144.1 Uncultured bacterium clone 48HIT96 integrase (intI) gene, partial cds",616,1,633,97.31,100,97.31,100,5.13,610.96,1.00E-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"50719|JF682533.1 Vibrio diabolicus strain 460-16 recombinase (recA) gene, partial cds",728,1,459,92.16,92.59,99.53,108,6.5,724.34,1.00E-26,50719,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio diabolicus
"50719|JF682541.1 Vibrio diabolicus strain 707-2 thermolabile hemolysin (tl) gene, partial cdsJF682543.1 Vibrio diabolicus strain 735-1 thermolabile hemolysin (tl) gene, partial cds",2024,0,360,99.44,100,99.44,100,17.57,2021.13,1.00E-26,50719,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio diabolicus
"670|JF682548.1 Vibrio parahaemolyticus strain 822-4 thermolabile hemolysin (tl) gene, partial cds",366,0,216,88.89,88.89,100,112.5,5.15,364.28,1.00E-26,670,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus
"77133|JN860317.1 Uncultured bacterium clone T8-B32 16S ribosomal RNA gene, partial sequence",860,3,1428,78.64,80.32,97.91,124.5,3.55,848.66,1.00E-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"663|HM362422.1 Vibrio alginolyticus strain X213 insertion sequence ISVal-2 transposase genes, complete cds; and NADP-specific glutamate dehydrogenase (gdhA) gene, partial cds",5394,10,4115,39.32,39.83,98.72,251.07,7.09,5361.21,1.00E-26,663,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus
"670|JQ408396.1 Vibrio parahaemolyticus strain CSMCRI-1010 16S ribosomal RNA gene, partial sequenceJQ665336.1 Vibrio parahaemolyticus strain CSMCRI 1072 clone 62 16S ribosomal RNA gene, partial sequence",1772,3,1420,49.44,50.85,97.23,196.68,5.15,1760.69,1.00E-26,662,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,
"152509|AB702033.1 Uncultured Bacteroidetes bacterium gene for 16S rRNA, partial sequence, clone: StnR-2-91",190,0,373,69.44,69.44,100,144.02,3.47,187.04,1.00E-26,152509,Bacteria,unk_k,Bacteroidota,unk_c,unk_o,unk_f,unk_g,uncultured Bacteroidetes bacterium
"77133|AB631560.1 Uncultured bacterium dsrB gene for dissimilatory sulfite reductase beta subunit, partial cds, clone: shi021",992,0,343,94.75,100,94.75,100,18.15,989.26,1.00E-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"77133|AB632010.1 Uncultured bacterium dsrB gene for dissimilatory sulfite reductase beta subunit, partial cds, clone: shi471",298,0,340,76.76,82.35,93.21,121.43,5.08,295.29,1.00E-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"77133|JQ586296.1 Uncultured bacterium clone SR10-46 16S ribosomal RNA gene, partial sequence",5778,4,1519,99.93,100,99.93,100,17.48,5765.88,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|JQ586307.1 Uncultured bacterium clone SR10-107 16S ribosomal RNA gene, partial sequence",1732,3,1501,84.14,84.34,99.76,118.56,5.36,1720.04,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|JQ586322.1 Uncultured bacterium clone SR10-152 16S ribosomal RNA gene, partial sequence",816,3,1473,23.9,23.96,99.72,417.28,2.64,804.31,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"152509|JQ579713.1 Uncultured Bacteroidetes bacterium clone FII-OX064 16S ribosomal RNA gene, partial sequence",884,3,1484,80.59,80.93,99.58,123.56,2.59,872.21,1.00E-26,152509,Bacteria,unk_k,Bacteroidota,unk_c,unk_o,unk_f,unk_g,uncultured Bacteroidetes bacterium
"86473|JQ579932.1 Uncultured gamma proteobacterium clone FII-TR137 16S ribosomal RNA gene, partial sequence",2678,3,1499,84.39,84.66,99.68,118.12,7.53,2666.05,1.00E-26,86473,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,unk_o,unk_f,unk_g,uncultured Gammaproteobacteria bacterium
"86473|JQ579797.1 Uncultured gamma proteobacterium clone FII-TR002 16S ribosomal RNA gene, partial sequenceJQ580090.1 Uncultured gamma proteobacterium clone RII-OX003 16S ribosomal RNA gene, partial sequenceJQ580186.1 Uncultured gamma proteobacterium clone RII-OX099 16S ribosomal RNA gene, partial sequence",884,3,1499,38.56,39.09,98.63,255.8,2.8,872.1,1.00E-26,86473,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,unk_o,unk_f,unk_g,uncultured Gammaproteobacteria bacterium
"152509|JQ580152.1 Uncultured Bacteroidetes bacterium clone RII-OX065 16S ribosomal RNA gene, partial sequence",1166,3,1478,83.69,83.83,99.84,119.29,3.69,1154.24,1.00E-26,152509,Bacteria,unk_k,Bacteroidota,unk_c,unk_o,unk_f,unk_g,uncultured Bacteroidetes bacterium
"213663|JQ580221.1 Uncultured Deferribacteres bacterium clone RII-OX134 16S ribosomal RNA gene, partial sequence",910,3,1496,64.77,65.24,99.28,153.28,3.3,898.12,1.00E-26,213663,Bacteria,unk_k,Deferribacteres,Deferribacteres,unk_o,unk_f,unk_g,uncultured Deferribacteres bacterium
"34034|JQ580275.1 Uncultured delta proteobacterium clone RII-TR042 16S ribosomal RNA gene, partial sequence",1138,4,1521,48.52,48.59,99.86,205.82,2.86,1125.91,1.00E-26,34034,Bacteria,unk_k,Proteobacteria,Deltaproteobacteria,unk_o,unk_f,unk_g,uncultured delta proteobacterium
"152507|JQ580460.1 Uncultured actinobacterium clone RII-AN081 16S ribosomal RNA gene, partial sequence",5046,4,1518,99.8,100.07,99.74,99.93,16.54,5033.88,1.00E-26,152507,Bacteria,unk_k,Actinobacteria,Actinomycetia,unk_o,unk_f,unk_g,uncultured actinobacterium
"34034|JQ580503.1 Uncultured delta proteobacterium clone RII-AN124 16S ribosomal RNA gene, partial sequence",1366,4,1522,83.11,83.44,99.61,119.84,4.07,1353.89,1.00E-26,34034,Bacteria,unk_k,Proteobacteria,Deltaproteobacteria,unk_o,unk_f,unk_g,uncultured delta proteobacterium
"325778|AB703632.1 Methanococcoides alaskense mcrA gene for methyl-coenzyme M reductase alpha subunit, partial cds, strain: NBRC 107632",728,3,1168,46.49,47.35,98.19,211.21,2.47,718.72,1.00E-26,2225,Archaea,unk_k,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanococcoides,
"1165195|JQ269297.1 Bacterium WH1-8 16S ribosomal RNA gene, partial sequence",972,3,1493,54.66,54.79,99.76,182.52,2.81,960.14,1.00E-26,1165195,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,bacterium WH1-8
"1163748|FO203363.1 Marinobacter hydrocarbonoclasticus str. ATCC 49840 chromosome, complete genome",38090748,9719,3989480,93.89,95.13,98.7,105.12,44.96,38061600.74,1.00E-26,2743,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Marinobacteraceae,Marinobacter,Marinobacter nauticus
"663364|HE565358.1 Arcobacter bivalviorum partial 16S rRNA gene, strain F118-4",10622,3,1402,99.57,99.57,100,100.43,32.59,10610.8,1.00E-26,663364,Bacteria,unk_k,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Arcobacteraceae,Halarcobacter,Halarcobacter bivalviorum
"663364|HE565368.1 Arcobacter bivalviorum partial rpoB gene for RNA polymerase subunit B, strain F118-4",302,1,487,77.82,77.82,100,128.5,2.66,298.13,1.00E-26,663364,Bacteria,unk_k,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Arcobacteraceae,Halarcobacter,Halarcobacter bivalviorum
"120965|JQ308903.1 Uncultured planctomycete clone MC4_A6-H hydrazine oxidroreductase gene, partial cds",252,1,435,99.08,99.08,100,100.93,2,248.55,1.00E-26,120965,Bacteria,unk_k,Planctomycetota,unk_c,unk_o,unk_f,unk_g,uncultured planctomycete
"120965|JQ308929.1 Uncultured planctomycete clone MC4_B4-H hydrazine oxidroreductase gene, partial cds",304,1,435,64.83,65.75,98.6,152.1,2.63,300.54,1.00E-26,120965,Bacteria,unk_k,Planctomycetota,unk_c,unk_o,unk_f,unk_g,uncultured planctomycete
"120965|JQ308981.1 Uncultured planctomycete clone MC3_A2-S 16S ribosomal RNA gene, partial sequence",578,2,769,56.31,56.31,100,177.6,3.51,571.88,1.00E-26,120965,Bacteria,unk_k,Planctomycetota,unk_c,unk_o,unk_f,unk_g,uncultured planctomycete
"77133|JF774527.1 Uncultured bacterium clone A9 CTRL T270d 16S ribosomal RNA gene, partial sequence",668,2,985,52.18,52.59,99.23,190.15,3.05,660.17,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"1167203|JN257638.1 Uncultured marine thaumarchaeote clone BC11_35 copper-containing nitrite reductase (nirK) gene, partial cds",666,2,1005,79.5,84.58,94,118.24,4.77,658.01,1.00E-26,651137,Archaea,unk_k,Thaumarchaeota,unk_c,unk_o,unk_f,,
"1167203|JN257322.1 Uncultured marine thaumarchaeote clone aM1-40m-120-01 copper-containing nitrite reductase (nirK) gene, partial cds",488,1,720,73.19,78.75,92.95,126.98,4.53,482.28,1.00E-26,651137,Archaea,unk_k,Thaumarchaeota,unk_c,unk_o,unk_f,,
"1131415|JF803039.1 Arcobacter sp. MDC1767 ATP synthase alpha subunit (atpA) gene, partial cds",1088,1,622,99.84,100,99.84,100,7.19,1083.04,1.00E-26,1131415,Bacteria,unk_k,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Arcobacteraceae,Arcobacter,Arcobacter sp. MDC1767
"1131415|JF803088.1 Arcobacter sp. MDC1767 heat shock protein 60 (cpn60) gene, partial cds",1740,1,595,99.66,100,99.66,100,13.89,1735.25,1.00E-26,1131415,Bacteria,unk_k,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Arcobacteraceae,Arcobacter,Arcobacter sp. MDC1767
"1131415|JF803097.1 Arcobacter sp. MDC1767 DNA gyrase subunit A (gyrA) gene, partial cds",1328,1,686,99.42,100,99.42,100,9.82,1322.53,1.00E-26,1131415,Bacteria,unk_k,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Arcobacteraceae,Arcobacter,Arcobacter sp. MDC1767
"1131415|JF803197.1 Arcobacter sp. MDC1767 RNA polymerase beta subunit (rpoB) gene, partial cds",832,1,621,92.27,92.27,100,108.38,5.9,827.05,1.00E-26,1131415,Bacteria,unk_k,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Arcobacteraceae,Arcobacter,Arcobacter sp. MDC1767
"153939|JN798928.1 Uncultured sulfate-reducing bacterium clone UBM1D80.17 dissimilatory sulfite reductase alpha subunit (dsrA) and dissimilatory sulfite reductase beta subunit (dsrB) genes, partial cds",1368,5,1942,75.39,80.59,93.55,124.09,5.2,1352.56,1.00E-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"1105004|JN208134.1 Marinobacterium sp. CCMM B678 16S ribosomal RNA gene, partial sequence",1406,3,1277,91.46,91.78,99.66,108.96,4.7,1395.83,1.00E-26,1105004,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Marinobacterium,Marinobacterium sp. CCMM B678
"1178812|JQ618286.1 Bacterium enrichment culture clone 23CTD catechol 2,3 dioxygenase gene, partial cds",1544,1,432,95.83,100,95.83,100,14.7,1540.55,1.00E-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"77133|AB716289.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: C0001_13",882,1,701,86.02,86.16,99.83,116.06,6.85,876.41,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"1179890|JQ598483.1 Vibrio sp. K4Ma2_071 uridylate kinase (pyrH) gene, partial cdsJQ598484.1 Vibrio sp. K8Ma1_088 uridylate kinase (pyrH) gene, partial cdsJQ598485.1 Vibrio sp. K9K2_093 uridylate kinase (pyrH) gene, partial cds",382,1,445,97.53,98.88,98.64,101.14,3.21,378.46,1.00E-26,1179890,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio sp. K4Ma2_071
"77133|JQ753169.1 Uncultured bacterium clone W21 16S ribosomal RNA gene, partial sequence",9332,4,1503,90.55,90.88,99.63,110.03,27.95,9320,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"1188782|JQ670704.1 Marinobacterium sp. enrichment culture clone KME55-69 16S ribosomal RNA gene, partial sequence",914,4,1506,46.88,47.61,98.47,210.04,2.92,902.04,1.00E-26,1188782,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Marinobacterium,Marinobacterium sp. enrichment culture clone KME55-69
"77133|AB722099.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: BMS9AB33",10408,3,1390,85.4,85.68,99.66,116.71,36.78,10396.9,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB722101.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: BMS9AB36",5946,3,1390,60,60.5,99.17,165.28,19.48,5934.9,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|JQ989529.1 Uncultured bacterium clone ORI-902A-09-P_S188-190_094B04 16S ribosomal RNA gene, partial sequence",1398,3,1295,64.56,65.25,98.93,153.25,4.77,1387.69,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|JQ990026.1 Uncultured bacterium clone ORI-860-25-P_S101-103_254Bdgge86 16S ribosomal RNA gene, partial sequence",880,1,551,96.37,97.82,98.52,102.23,5.88,875.61,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|JQ990027.1 Uncultured bacterium clone ORI-860-25-P_S101-103_254Bdgge87 16S ribosomal RNA gene, partial sequence",310,1,551,55.35,57.71,95.91,173.27,2.74,305.63,1.00E-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"77133|JN106853.1 Uncultured bacterium clone SWB130 16S ribosomal RNA gene, partial sequence",378,1,679,68.78,69.51,98.94,143.86,2.06,372.61,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"115547|JN107485.1 Uncultured archaeon clone SWA70 16S ribosomal RNA gene, partial sequence",660,1,648,84.88,87.35,97.17,114.49,5.91,654.84,1.00E-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"115547|JQ816022.1 Uncultured archaeon clone MD-178-10-3263C_T6N-G_S350_07A01 16S ribosomal RNA gene, partial sequence",8186,3,1431,93.01,93.08,99.92,107.43,28.45,8174.57,1.00E-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"77133|JQ816170.1 Uncultured bacterium clone MD-178-10-3263C_T6N-G_S150_03B07 16S ribosomal RNA gene, partial sequence",2018,3,1488,95.36,95.36,100,104.86,5.62,2006.14,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|JQ816350.1 Uncultured bacterium clone MD-178-10-3263C_T6N-G_S800_16B13 16S ribosomal RNA gene, partial sequence",842,3,1438,73.02,73.64,99.15,135.79,3.34,830.58,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|JQ816404.1 Uncultured bacterium clone MD-178-10-3290_K8B-P_S135_01B07 16S ribosomal RNA gene, partial sequence",744,3,1388,55.76,56.41,98.85,177.27,2.59,732.98,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
